EMITFAIL false_coherence
EMITFAIL union_cross_space_reject
EMITFAIL union_cross_world_reject
EMITFAIL union_field_obligation_reject
RAN arena_basic exit=6
RAN c_cell exit=0
RAN c_morph_on_morphism exit=0
RAN c_place_over exit=0
RAN c_prop_abstract exit=0
RAN c_topos_at_space exit=0
RAN capability_flow_demo exit=110
RAN circle_hit exit=42
RAN closed_morphism_capture exit=7
RAN closure_capture exit=42
RAN cluster_a_ast_commutative exit=81
RAN collections_ext exit=42
RAN comprehension_carrier exit=0
RAN cx_carry exit=11
RAN cx_face_system exit=5
RAN cx_hit_suspension exit=5
RAN cx_move_law exit=212
RAN cx_path_algebra exit=22
RAN cx_transport_refl exit=5
RAN cx_univalence_distinct exit=1
RAN cx_univalence_named exit=11
RAN cx_univalence_succ exit=11
RAN decidable_ok exit=42
RAN decidable_unknown exit=134
RAN directed_transport exit=0
RAN effect_propagation exit=0
RAN error_morphism exit=0
RAN extends_subobject exit=0
RAN extends_subsumption exit=0
RAN forcing_demo exit=0
RAN functor_compose_inline exit=0
RAN functor_compose_local exit=0
RAN functor_lambda exit=0
RAN functor_linear exit=0
RAN functor_toplevel exit=0
RAN generics_basic exit=44
RAN geom_morphism_body exit=0
RAN geom_morphism_cell exit=0
RAN geom_morphism_inspect exit=0
RAN handle_lambda_capture exit=44
RAN handle_lambdas exit=44
RAN hermetic_scope exit=42
RAN heyting_excluded_middle exit=1
RAN higher_order_recursive exit=42
RAN id_endpoint_coherence exit=0
RAN inductive_arity3 exit=42
RAN inductive_list exit=42
RAN inductive_tree exit=42
RAN inductive_wildcard exit=42
RAN iter_loop exit=5
RAN kw_algebra exit=0
RAN kw_clear exit=26
RAN kw_geomorph_full exit=0
RAN kw_heyting exit=42
RAN kw_hott exit=42
RAN kw_id_sugar exit=42
RAN kw_is_literal exit=30
RAN kw_list_here exit=21
RAN kw_merge_move exit=22
RAN kw_morph exit=0
RAN kw_paths exit=42
RAN kw_patterns exit=6
RAN kw_prelude exit=42
RAN kw_produce_emit exit=42
RAN kw_reduction_modifiers exit=0
RAN kw_stream_policies exit=33
RAN kw_topos_block exit=42
RAN kw_view_show exit=8
RAN land_reach exit=113
RAN math_ext exit=39
RAN merkle_noncommutative exit=11
RAN nat_transform_functor exit=0
RAN native_sum_match exit=42
RAN native_sum_runtime exit=42
RAN nested_lambda_capture exit=52
RAN net_stream exit=0
RAN primes_bertrand exit=8
RAN reduction_fold exit=7
RAN route_history exit=31
RAN shm_backpressure exit=0
RAN shm_stream exit=0
RAN spawn_parallel_collect exit=10
RAN stdlib_extended exit=90
RAN stdlib_showcase exit=244
RAN stream_for_every exit=0
RAN string_literals exit=31
RAN string_test exit=5
RAN syslog_demo exit=0
RAN system_io exit=63
RAN terminal_pure exit=0
RAN union_field_obligation exit=0
RAN union_upcast exit=7
RAN v1_control_flow exit=42
RAN vec_basic exit=62
RAN while_loop exit=7
RAN wire_eof exit=7
